,Pais,Sede,Red Social,URL
0,Algeria,EARGE,Facebook,facebook.com/ArgentinaEnArgelia
1,Algeria,EARGE,Instagram,https://instagram.com/argenargelia
2,Algeria,EARGE,Twitter,https://twitter.com/ARGenArgelia
3,Angola,EANGO,Facebook,https://www.facebook.com/ArgentinaEnAngola/
4,Angola,EANGO,Instagram,https://www.instagram.com/embargentinaenangola/
5,Armenia,EARME,Facebook,https://www.facebook.com/ArgentinaEnArmenia
6,Armenia,EARME,Instagram,https://www.instagram.com/arginarmenia/
7,Armenia,EARME,Twitter,https://twitter.com/ARGinArmenia
8,Australia,CSIDN,Facebook,https://www.facebook.com/ArgentinaEnSidney/
9,Australia,EAUST,Facebook,https://www.facebook.com/ArgentinaEnAustralia/
10,Australia,EAUST,Twitter,https://twitter.com/ARGinAustralia
11,Austria,ETRIA,Facebook,https://www.facebook.com/ArgentinaEnAustria/
12,Austria,ETRIA,Instagram,https://www.instagram.com/argenviena/
13,Austria,ETRIA,Twitter,https://twitter.com/ARGenViena
14,Azerbaijan,EAZER,Facebook,https://www.facebook.com/EmbassyOfArgentina/
15,Azerbaijan,EAZER,Instagram,www.instagram.com/embargentinaaz
16,Azerbaijan,EAZER,Twitter,www.twitter.com/ARGEnAzer
17,Barbados,EBARB,Facebook,https://www.facebook.com/ArgentinaEnBarbados/
18,Belgium,EBELG,Facebook,https://www.facebook.com/ArgentinaEnBelgica/
19,Belgium,EBELG,Instagram,https://www.instagram.com/argenbelgica/
20,Belgium,ECEUR,Facebook,https://www.facebook.com/ARGanteUE
21,Belgium,ECEUR,Flickr,https://www.flickr.com/people/197084220@N02/
22,Belgium,ECEUR,LinkedIn,https://www.linkedin.com/company/arganteue
23,Belgium,ECEUR,Twitter,https://twitter.com/ARGanteUE
24,Belgium,ECEUR,Youtube,https://www.youtube.com/@ARGanteUE
25,Bolivia,CCOCH,Facebook,wwww.facebook.com/ArgentinaEnCochabamba
26,Bolivia,CSCRS,Facebook,www.facebook.com/ArgEnSantaCruz  de  la  Sierra
27,Bolivia,CVILL,Facebook,https://www.facebook.com/ArgEnVillazon
28,Bolivia,EBOLV,Instagram,@EmbaArgBolivia
29,Bolivia,EBOLV,Instagram,@EmbajadaArgentinaBolivia
30,Bolivia,EBOLV,Instagram,@embajada_argentina_en_bolivia
31,Brazil,CALEG,Facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/
32,Brazil,CALEG,Instagram,https://www.instagram.com/argenportoalegre/
33,Brazil,CALEG,Twitter,https://twitter.com/ArgPortoAlegre
34,Brazil,CBELO,Facebook,https://www.facebook.com/ArgentinaEnBeloHorizonte/
35,Brazil,CBELO,Instagram,https://www.instagram.com/consgralbelo/
36,Brazil,CBELO,Twitter,https://twitter.com/consgralbelo
37,Brazil,CCURI,Facebook,https://www.facebook.com/ArgEnCuritiba/
38,Brazil,CCURI,Instagram,https://instagram.com/argEncuritiba
39,Brazil,CCURI,Twitter,https://twitter.com/ARGenCuri
40,Brazil,CFDIG,Facebook,https://www.facebook.com/ArgentinaEnFozDeIguazu
41,Brazil,CFDIG,Instagram,https://www.instagram.com/argentinaenfoz/
42,Brazil,CFDIG,Twitter,https://twitter.com/argentinaenfoz
43,Brazil,CFLOR,Facebook,https://www.facebook.com/cflor.mrecic.gov.ar
44,Brazil,CFLOR,Instagram,@argenflorianopolis
45,Brazil,CRECI,Facebook,https://www.facebook.com/ArgentinaEnBrasilRecife
46,Brazil,CRECI,Instagram,https://www.instagram.com/consuladoargentinorecife
47,Brazil,CRIOJ,Facebook,https://www.facebook.com/ArgentinaEnRiodeJaneiro/
48,Brazil,CSBAH,Facebook,https://www.facebook.com/ArgentinaenSalvador
49,Brazil,CSBAH,Instagram,https://www.instagram.com/argentinaensalvador
50,Brazil,CSBAH,Twitter,https://twitter.com/ArgentinaEnSSA
51,Brazil,CURUG,Facebook,https://www.facebook.com/ArgEnUruguayana/
52,Brazil,CURUG,Twitter,https://twitter.com/CURUGoK
53,Brazil,EBRAS,Facebook,https://www.facebook.com/embargbrasil
54,Brazil,EBRAS,Instagram,https://www.instagram.com/embaargenbrasil
55,Brazil,EBRAS,Twitter,https://twitter.com/ArgentinaEnBras
56,Bulgaria,EBULG,Facebook,https://www.facebook.com/ArgentinaEnBulgaria/
57,Bulgaria,EBULG,Youtube,https://www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow
58,Canada,CTORO,Facebook,https://www.facebook.com/ArgentinaEnToronto/
59,Canada,CTORO,Instagram,https://www.instagram.com/consuladoargtoronto/
60,Canada,ECANA,Facebook,https://www.facebook.com/ArgentinaInCanada
61,Canada,ECANA,Instagram,https://www.instagram.com/argentinaincanada/
62,Canada,ECANA,LinkedIn,https://www.linkedin.com/company/argentinaincanada
63,Canada,ECANA,Twitter,https://twitter.com/ArginCanada
64,Canada,ECANA,Youtube,https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A
65,Chile,CANTO,Facebook,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/
66,Chile,CAREN,Facebook,https://www.facebook.com/profile.php?id=100014152878593
67,Chile,CPMON,Facebook,https://www.facebook.com/ArgentinaEnPuertoMontt/
68,Chile,CVALP,Facebook,https://www.facebook.com/ArgentinaEnValparaiso
69,Chile,EHILE,Facebook,https://www.facebook.com/EmbArgentinaEnChile
