,Nombre,Cantidad de tipos de red social
0,Russian Federation,2.0
1,India,3.0
2,Turkiye,1.0
3,Kenya,2.0
4,Ukraine,2.0
5,Japan,1.0
6,Ireland,2.0
7,Singapore,2.0
8,Senegal,1.0
9,Bangladesh,0.0
10,Thailand,1.0
11,Pakistan,1.0
12,Poland,1.0
13,Haiti,0.0
14,Switzerland,4.0
15,Romania,2.0
16,South Africa,3.0
17,Colombia,2.0
18,Viet Nam,2.0
19,Uruguay,3.0
20,Barbados,1.0
21,Malaysia,1.0
22,Bulgaria,2.0
23,Belgium,6.0
24,Algeria,3.0
25,"Egypt, Arab Rep.",3.0
26,Ethiopia,2.0
27,Sweden,3.0
28,Kuwait,1.0
29,Guatemala,0.0
30,Austria,3.0
31,Guyana,0.0
32,Argentina,0.0
33,Dominican Republic,1.0
34,El Salvador,3.0
35,Armenia,3.0
36,United States,6.0
37,Spain,4.0
38,Morocco,2.0
39,China,1.0
40,West Bank and Gaza,1.0
41,Czechia,2.0
42,Netherlands,2.0
43,Portugal,0.0
44,Trinidad and Tobago,1.0
45,Denmark,1.0
46,Australia,2.0
47,Germany,2.0
48,Mexico,4.0
49,"Iran, Islamic Rep.",0.0
50,France,2.0
51,Italy,4.0
52,Saudi Arabia,3.0
53,Bolivia,2.0
54,Suriname,0.0
55,Libya,0.0
56,Qatar,1.0
57,Nicaragua,1.0
58,Panama,1.0
59,Norway,2.0
60,Peru,2.0
61,Paraguay,3.0
62,Brazil,3.0
63,Hungary,1.0
64,United Arab Emirates,1.0
65,Costa Rica,1.0
66,Honduras,1.0
67,Ecuador,3.0
68,Canada,5.0
69,Philippines,3.0
70,Indonesia,1.0
71,Angola,2.0
72,St. Lucia,0.0
73,New Zealand,0.0
74,Cuba,1.0
75,Serbia,2.0
76,Chile,3.0
77,Azerbaijan,3.0
78,Tunisia,4.0
79,Greece,2.0
80,Finland,2.0
81,"Korea, Rep.",2.0
82,Mozambique,1.0
83,Nigeria,2.0
84,Jamaica,2.0
85,Israel,2.0
