idPais,Nombre
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
CHL,REPÚBLICA  DE  CHILE
CHL,REPÚBLICA  DE  CHILE
PRY,REPÚBLICA  DEL  PARAGUAY
USA,Estados  Unidos  de  América
ESP,REINO  DE  ESPAÑA
CHN,REPÚBLICA  POPULAR  DE  CHINA
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA
ESP,REINO  DE  ESPAÑA
PRY,REPÚBLICA  DEL  PARAGUAY
USA,Estados  Unidos  de  América
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
CHL,REPÚBLICA  DE  CHILE
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
PRY,REPÚBLICA  DEL  PARAGUAY
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA
TUR,República  de  Türkiye
IND,REPÚBLICA  DE  LA  INDIA
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
ISR,ESTADO  DE  ISRAEL
CHN,REPÚBLICA  POPULAR  DE  CHINA
ECU,REPÚBLICA  DEL  ECUADOR
CAN,CANADÁ
DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA
CHN,REPÚBLICA  POPULAR  DE  CHINA
USA,Estados  Unidos  de  América
ZAF,REPÚBLICA  DE  SUDÁFRICA
USA,Estados  Unidos  de  América
PER,REPÚBLICA  DEL  PERÚ
GRB,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE
ESP,REINO  DE  ESPAÑA
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
ESP,REINO  DE  ESPAÑA
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
MEX,ESTADOS  UNIDOS  MEXICANOS
USA,Estados  Unidos  de  América
ITA,REPÚBLICA  ITALIANA
CAN,CANADÁ
USA,Estados  Unidos  de  América
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
MEX,ESTADOS  UNIDOS  MEXICANOS
