idPais,Region
BRA,AMÉRICA  DEL  SUR
CHL,AMÉRICA  DEL  SUR
CHL,AMÉRICA  DEL  SUR
PRY,AMÉRICA  DEL  SUR
USA,AMÉRICA  DEL  NORTE
ESP,EUROPA  OCCIDENTAL
CHN,ASIA
BRA,AMÉRICA  DEL  SUR
DEU,EUROPA  OCCIDENTAL
ESP,EUROPA  OCCIDENTAL
PRY,AMÉRICA  DEL  SUR
USA,AMÉRICA  DEL  NORTE
BOL,AMÉRICA  DEL  SUR
URY,AMÉRICA  DEL  SUR
CHL,AMÉRICA  DEL  SUR
BRA,AMÉRICA  DEL  SUR
PRY,AMÉRICA  DEL  SUR
URY,AMÉRICA  DEL  SUR
BRA,AMÉRICA  DEL  SUR
BRA,AMÉRICA  DEL  SUR
DEU,EUROPA  OCCIDENTAL
TUR,EUROPA  OCCIDENTAL
IND,ASIA
BOL,AMÉRICA  DEL  SUR
ISR,ASIA
CHN,ASIA
ECU,AMÉRICA  DEL  SUR
CAN,AMÉRICA  DEL  NORTE
DEU,EUROPA  OCCIDENTAL
CHN,ASIA
USA,AMÉRICA  DEL  NORTE
ZAF,ÁFRICA  SUBSAHARIANA
USA,AMÉRICA  DEL  NORTE
PER,AMÉRICA  DEL  SUR
GRB,EUROPA  OCCIDENTAL
ESP,EUROPA  OCCIDENTAL
URY,AMÉRICA  DEL  SUR
ESP,EUROPA  OCCIDENTAL
URY,AMÉRICA  DEL  SUR
MEX,AMÉRICA  DEL  NORTE
USA,AMÉRICA  DEL  NORTE
ITA,EUROPA  OCCIDENTAL
CAN,AMÉRICA  DEL  NORTE
USA,AMÉRICA  DEL  NORTE
BRA,AMÉRICA  DEL  SUR
URY,AMÉRICA  DEL  SUR
MEX,AMÉRICA  DEL  NORTE
CHL,AMÉRICA  DEL  SUR
BRA,AMÉRICA  DEL  SUR
BRA,AMÉRICA  DEL  SUR
ITA,EUROPA  OCCIDENTAL
BRA,AMÉRICA  DEL  SUR
BOL,AMÉRICA  DEL  SUR
CHN,ASIA
AUS,OCEANÍA
CHL,AMÉRICA  DEL  SUR
URY,AMÉRICA  DEL  SUR
BOL,AMÉRICA  DEL  SUR
ESP,EUROPA  OCCIDENTAL
CAN,AMÉRICA  DEL  NORTE
BRA,AMÉRICA  DEL  SUR
CHL,AMÉRICA  DEL  SUR
ESP,EUROPA  OCCIDENTAL
BOL,AMÉRICA  DEL  SUR
BOL,AMÉRICA  DEL  SUR
ARG,AMÉRICA  DEL  SUR
DEU,EUROPA  OCCIDENTAL
AGO,ÁFRICA  SUBSAHARIANA
SAU,ASIA
DZA,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
ARM,ASIA
SYR,ASIA
AUS,OCEANÍA
AZE,ASIA
BGD,ASIA
BRB,AMÉRICA  CENTRAL  Y  CARIBE
BEL,EUROPA  OCCIDENTAL
BOL,AMÉRICA  DEL  SUR
BRA,AMÉRICA  DEL  SUR
BGR,EUROPA  CENTRAL  Y  ORIENTAL
CAN,AMÉRICA  DEL  NORTE
BEL,EUROPA  OCCIDENTAL
CZE,EUROPA  CENTRAL  Y  ORIENTAL
CHN,ASIA
COL,AMÉRICA  DEL  SUR
KOR,ASIA
CUB,AMÉRICA  CENTRAL  Y  CARIBE
DNK,EUROPA  OCCIDENTAL
DOM,AMÉRICA  CENTRAL  Y  CARIBE
ARE,ASIA
ECU,AMÉRICA  DEL  SUR
USA,AMÉRICA  DEL  NORTE
EGY,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
USA,AMÉRICA  DEL  NORTE
ESP,EUROPA  OCCIDENTAL
ETH,ÁFRICA  SUBSAHARIANA
PHL,ASIA
FIN,EUROPA  OCCIDENTAL
FRA,EUROPA  OCCIDENTAL
RUS,EUROPA  CENTRAL  Y  ORIENTAL
GRC,EUROPA  OCCIDENTAL
GTM,AMÉRICA  CENTRAL  Y  CARIBE
GUY,AMÉRICA  CENTRAL  Y  CARIBE
HTI,AMÉRICA  CENTRAL  Y  CARIBE
CHL,AMÉRICA  DEL  SUR
HND,AMÉRICA  CENTRAL  Y  CARIBE
IND,ASIA
IRN,ASIA
IRL,EUROPA  OCCIDENTAL
IDN,ASIA
ISR,ASIA
ITA,EUROPA  OCCIDENTAL
JAM,AMÉRICA  CENTRAL  Y  CARIBE
JPN,ASIA
KEN,ÁFRICA  SUBSAHARIANA
KWT,ASIA
LBY,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
LBN,ASIA
LCA,AMÉRICA  CENTRAL  Y  CARIBE
MAR,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
MEX,AMÉRICA  DEL  NORTE
ITA,EUROPA  OCCIDENTAL
MOZ,ÁFRICA  SUBSAHARIANA
MYS,ASIA
URY,AMÉRICA  DEL  SUR
USA,AMÉRICA  DEL  NORTE
NIC,AMÉRICA  CENTRAL  Y  CARIBE
NGA,ÁFRICA  SUBSAHARIANA
NOR,EUROPA  OCCIDENTAL
NZL,OCEANÍA
CHE,EUROPA  OCCIDENTAL
PAK,ASIA
PRY,AMÉRICA  DEL  SUR
NLD,EUROPA  OCCIDENTAL
PER,AMÉRICA  DEL  SUR
PAN,AMÉRICA  CENTRAL  Y  CARIBE
POL,EUROPA  CENTRAL  Y  ORIENTAL
PRT,EUROPA  OCCIDENTAL
QAT,ASIA
CRI,AMÉRICA  CENTRAL  Y  CARIBE
ROU,EUROPA  CENTRAL  Y  ORIENTAL
GRB,EUROPA  OCCIDENTAL
ZAF,ÁFRICA  SUBSAHARIANA
SLV,AMÉRICA  CENTRAL  Y  CARIBE
SEN,ÁFRICA  SUBSAHARIANA
SRB,EUROPA  CENTRAL  Y  ORIENTAL
SGP,ASIA
VAT,EUROPA  OCCIDENTAL
SWE,EUROPA  OCCIDENTAL
CHE,EUROPA  OCCIDENTAL
SUR,AMÉRICA  DEL  SUR
THA,ASIA
AUT,EUROPA  OCCIDENTAL
TTO,AMÉRICA  CENTRAL  Y  CARIBE
TUN,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
TUR,EUROPA  OCCIDENTAL
UKR,EUROPA  CENTRAL  Y  ORIENTAL
FRA,EUROPA  OCCIDENTAL
HUN,EUROPA  CENTRAL  Y  ORIENTAL
URY,AMÉRICA  DEL  SUR
VEN,AMÉRICA  DEL  SUR
VNM,ASIA
CHN,ASIA
PSE,ASIA
