idSede,idPais,Descripcion,Estado
CALEG,BRA,Consulado  General  en  Porto  Alegre,Activo
CANTO,CHL,Consulado  en  Antofagasta,Activo
CAREN,CHL,Consulado  General  en  Punta  Arenas,Activo
CASUN,PRY,Consulado  General  en  Asunción,Activo
CATLA,USA,Consulado  General  en  Atlanta,Activo
CBARC,ESP,Consulado  General  y  Centro  de  Promoción  en  Barcelona,Activo
CBEIJ,CHN,Sección  Consular  en  Beijing,Activo
CBELO,BRA,Consulado  en  Belo  Horizonte,Activo
CBONN,DEU,Consulado  en  Bonn,Activo
CCADI,ESP,Consulado  en  Cádiz,Activo
CCEST,PRY,Consulado  General  en  Ciudad  del  Este,Activo
CCHIC,USA,Consulado  General  en  Chicago,Activo
CCOCH,BOL,Consulado  en  Cochabamba,Activo
CCOLO,URY,Consulado  en  Colonia,Activo
CCONC,CHL,Consulado  en  Concepción,Activo
CCURI,BRA,Consulado  en  Curitiba,Activo
CENCA,PRY,Consulado  General  en  Encarnación,Activo
CFBEN,URY,Consulado  en  Fray  Bentos,Activo
CFDIG,BRA,Consulado  en  Foz  de  Iguazu,Activo
CFLOR,BRA,Consulado  en  Florianopolis,Activo
CFRAN,DEU,Consulado  General  y  Centro  de  Promoción  en  Francfort,Activo
CGEST,TUR,Consulado  General  y  Centro  de  Promoción  en  Estambul,Activo
CGMUM,IND,Consulado  General  y  Centro  de  Promoción  en  Mumbai,Activo
CGPAZ,BOL,Consulado  General  en  La  Paz,Activo
CGTEL,ISR,Consulado  General  en  Tel  Aviv,Activo
CGUAN,CHN,Consulado  General  en  Guangzhou,Activo
CGUAY,ECU,Consulado  en  Guayaquil,Activo
CGVAN,CAN,Consulado  General  en  Vancouver,Activo
CHAMB,DEU,Consulado  General  en  Hamburgo,Activo
CHONG,CHN,Consulado  General  en  Hong  Kong,Activo
CHOUS,USA,Consulado  General  en  Houston,Activo
CJOHA,ZAF,Consulado  General  en  Johannesburgo,Activo
CLANG,USA,Consulado  General  y  Centro  de  Promoción  en  Los  Ángeles,Activo
CLIMA,PER,Consulado  General  en  Lima,Activo
CLOND,GRB,Consulado  General  en  Londres,Activo
CMADR,ESP,Consulado  General  en  Madrid,Activo
CMALD,URY,Consulado  en  Maldonado,Activo
CMALL,ESP,Consulado  en  Palma,Activo
CMDEO,URY,Consulado  General  en  Montevideo,Activo
CMEXI,MEX,Consulado  General  en  México,Activo
CMIAM,USA,Consulado  General  y  Centro  de  Promoción  en  Miami,Activo
CMILA,ITA,Consulado  General  y  Centro  de  Promoción  en  Milán,Activo
CMREA,CAN,Consulado  General  en  Montreal,Activo
CNYOR,USA,Consulado  General  y  Centro  de  Promoción  en  Nueva  York,Activo
CPABL,BRA,Consulado  General  y  Centro  de  Promoción  en  San  Pablo,Activo
CPAYS,URY,Consulado  en  Paysandú,Activo
CPCAR,MEX,Consulado  en  Playa  del  Carmen,Activo
CPMON,CHL,Consulado  en  Puerto  Montt,Activo
CRECI,BRA,Consulado  en  Recife,Activo
CRIOJ,BRA,Consulado  General  en  Rio  de  Janeiro,Activo
CROMA,ITA,Consulado  General  en  Roma,Activo
CSBAH,BRA,Consulado  en  San  Salvador  de  Bahía,Activo
CSCRS,BOL,Consulado  General  y  Centro  de  Promoción  en  Santa  Cruz,Activo
CSHAN,CHN,Consulado  General  y  Centro  de  Promoción  en  Shanghai,Activo
CSIDN,AUS,Consulado  General  en  Sidney,Activo
CSIGO,CHL,Consulado  General  en  Santiago,Activo
CSLTO,URY,Consulado  en  Salto,Activo
CTARI,BOL,Consulado  General  en  Tarija,Activo
CTENE,ESP,Consulado  en  Tenerife,Activo
CTORO,CAN,Consulado  General  en  Toronto,Activo
CURUG,BRA,Consulado  en  Uruguayana,Activo
CVALP,CHL,Consulado  General  en  Valparaíso,Activo
CVIGO,ESP,Consulado  General  en  Vigo,Activo
CVILL,BOL,Consulado  en  Villazon,Activo
CYACU,BOL,Consulado  en  Yacuiba,Activo
DIGAC,ARG,Argentinos  en  el  exterior,Activo
EALEM,DEU,Embajada  en  Alemania,Activo
EANGO,AGO,Embajada  en  Angola,Activo
EARAB,SAU,Embajada  en  Arabia  Saudita,Activo
EARGE,DZA,Embajada  en  Argelia,Activo
EARME,ARM,Embajada  en  Armenia,Activo
EASIR,SYR,Embajada  en  Siria,Activo
EAUST,AUS,Embajada  en  Australia,Activo
EAZER,AZE,Embajada  en  Azerbaiyán,Activo
EBANG,BGD,Embajada  en  Bangladesh,Activo
EBARB,BRB,Embajada  en  Barbados,Activo
EBELG,BEL,Embajada  en  Bélgica,Activo
EBOLV,BOL,Embajada  en  Bolivia,Activo
EBRAS,BRA,Embajada  en  Brasil,Activo
EBULG,BGR,Embajada  en  Bulgaria,Activo
ECANA,CAN,Embajada  en  Canadá,Activo
ECEUR,BEL,Embajada  ante  la  Unión  Europea,Activo
ECHES,CZE,Embajada  en  República  Checa,Activo
ECHIN,CHN,Embajada  en  China,Activo
ECOLO,COL,Embajada  en  Colombia,Activo
ECORE,KOR,Embajada  en  Corea  Del  Sur,Activo
ECUBA,CUB,Embajada  en  Cuba,Activo
EDINA,DNK,Embajada  en  Dinamarca,Activo
EDOMI,DOM,Embajada  en  República  Dominicana,Activo
EEARB,ARE,Embajada  en  Emiratos  Árabes  Unidos,Activo
EECUA,ECU,Embajada  en  Ecuador,Activo
EEEUU,USA,Embajada  en  Estados  Unidos,Activo
EEGIP,EGY,Embajada  en  Egipto,Activo
EEOEA,USA,Misión  Permanente  ante  la  Organización  de  Estados  Americanos,Activo
EESPA,ESP,Embajada  en  España,Activo
EETIO,ETH,Embajada  en  Etiopía,Activo
EFILI,PHL,Embajada  en  Filipinas,Activo
EFINL,FIN,Embajada  en  Finlandia,Activo
EFRAN,FRA,Embajada  en  Francia,Activo
EFRUS,RUS,Embajada  en  Rusia,Activo
EGREC,GRC,Embajada  en  Grecia,Activo
EGUAT,GTM,Embajada  en  Guatemala,Activo
EGUYA,GUY,Embajada  en  Guyana,Activo
EHAIT,HTI,Embajada  en  Haití,Activo
EHILE,CHL,Embajada  en  Chile,Activo
EHOND,HND,Embajada  en  Honduras,Activo
EINDI,IND,Embajada  en  India,Activo
EIRAN,IRN,Embajada  en  Irán,Activo
EIRLA,IRL,Embajada  en  Irlanda,Activo
EISIA,IDN,Embajada  en  Indonesia,Activo
EISRA,ISR,Embajada  en  Israel,Activo
EITAL,ITA,Embajada  en  Italia,Activo
EJAMA,JAM,Embajada  en  Jamaica,Activo
EJAPO,JPN,Embajada  en  Japón,Activo
EKENY,KEN,Embajada  en  Kenia,Activo
EKUWA,KWT,Embajada  en  Kuwait,Activo
ELBIA,LBY,Embajada  en  Libia,Activo
ELBNO,LBN,Embajada  en  Líbano,Activo
ELUCI,LCA,Embajada  en  Santa  Lucía,Inactivo
EMARR,MAR,Embajada  en  Marruecos,Activo
EMEXI,MEX,Embajada  en  México,Activo
EMFAO,ITA,Misión  Permanente  ante  la  Organización  de  las  Naciones  Unidas  para  la  Alimentación  y  la  Agricultura,Activo
EMOZA,MOZ,Embajada  en  Mozambique,Activo
EMSIA,MYS,Embajada  en  Malasia,Activo
EMSUR,URY,Representación  Permanente  para  MERCOSUR  y  ALADI,Activo
ENAUN,USA,Representación  Permanente  ante  las  Naciones  Unidas,Activo
ENICA,NIC,Embajada  en  Nicaragua,Activo
ENIGE,NGA,Embajada  en  Nigeria,Activo
ENORU,NOR,Embajada  en  Noruega,Activo
ENZEL,NZL,Embajada  en  Nueva  Zelandia,Activo
EOIRS,CHE,Misión  Permanente  ante  los  Organismos  Internacionales  en  Ginebra,Activo
EPAKI,PAK,Embajada  en  Pakistán,Activo
EPARA,PRY,Embajada  en  Paraguay,Activo
EPBAJ,NLD,Embajada  en  Holanda,Activo
EPERU,PER,Embajada  en  Perú,Activo
EPNMA,PAN,Embajada  en  Panamá,Activo
EPOLO,POL,Embajada  en  Polonia,Activo
EPORT,PRT,Embajada  en  Portugal,Activo
EQATR,QAT,Embajada  en  Qatar,Activo
ERICA,CRI,Embajada  en  Costa  Rica,Activo
ERUMA,ROU,Embajada  en  Rumania,Activo
ERUNI,GRB,Embajada  en  Reino  Unido,Activo
ESAFR,ZAF,Embajada  en  Sudáfrica,Activo
ESALV,SLV,Embajada  en  El  Salvador,Activo
ESENE,SEN,Embajada  en  Senegal,Activo
ESERB,SRB,Embajada  en  Serbia,Activo
ESING,SGP,Embajada  en  Singapur,Activo
ESSED,VAT,Representación  ante  la  Santa  Sede,Activo
ESUEC,SWE,Embajada  en  Suecia,Activo
ESUIZ,CHE,Embajada  en  Suiza,Activo
ESURI,SUR,Embajada  en  Surinam,Activo
ETAIL,THA,Embajada  en  Tailandia,Activo
ETRIA,AUT,Embajada  en  Austria,Activo
ETRIN,TTO,Embajada  en  Trinidad  y  Tobago,Activo
ETUNE,TUN,Embajada  en  Túnez,Activo
ETURQ,TUR,Embajada  en  Türkiye,Activo
EUCRA,UKR,Embajada  en  Ucrania,Activo
EUNES,FRA,"Delegación  Permanente  ante  la  Organización  de  las  Naciones  Unidas  para  la  Educación, la  Ciencia  y  la  Cultura",Activo
EUNGR,HUN,Embajada  en  Hungría,Activo
EURUG,URY,Embajada  en  Uruguay,Activo
EVENE,VEN,Embajada  en  Venezuela,Activo
EVIET,VNM,Embajada  en  Vietnam,Activo
OCCAT,CHN,Oficina  Comercial  y  Cultural  Argentina  en  Taiwán,Inactivo
REPAL,PSE,Oficina  de  Representación  en  el  Estado  de  Palestina,Activo
