idPais,Nombre,Pbi
ABW,Aruba,33300.8388187011
AGO,Angola,3000.44423053173
ALB,Albania,6810.11404104233
AND,Andorra,41992.7727779758
ARE,United Arab Emirates,53707.9800809111
ARG,Argentina,13650.6046294524
ARM,Armenia,7018.05150434798
ASM,American Samoa,19673.3901023197
ATG,Antigua and Barbuda,19919.7266867883
AUS,Australia,65099.8459118981
AUT,Austria,52084.6811953372
AZE,Azerbaijan,7762.0738285884
BDI,Burundi,259.025031363515
BEL,Belgium,49926.8254295305
BEN,Benin,1302.85103626824
BFA,Burkina Faso,830.03715033429
BGD,Bangladesh,2688.30550090738
BGR,Bulgaria,13974.4492487792
BHR,Bahrain,30146.925026365
BHS,"Bahamas, The",31458.300811739
BIH,Bosnia and Herzegovina,7568.79847995923
BLR,Belarus,7888.26371063212
BLZ,Belize,6984.21695968163
BMU,Bermuda,118774.790656677
BOL,Bolivia,3600.12163486427
BRA,Brazil,8917.67491057495
BRB,Barbados,20238.7842420154
BRN,Brunei Darussalam,37152.4769749763
BWA,Botswana,7738.87880407803
CAN,Canada,54917.6625226262
CHE,Switzerland,93259.9057183024
CHL,Chile,15355.4797401048
CHN,China,12720.2163182363
CIV,Cote d'Ivoire,2486.41219394248
CMR,Cameroon,1563.48894034459
COD,"Congo, Dem. Rep.",653.656223069354
COG,"Congo, Rep.",2649.22502230642
COL,Colombia,6624.16539269075
COM,Comoros,1484.89246472542
CPV,Cabo Verde,3754.30479371603
CRI,Costa Rica,13365.3563992692
CSS,Caribbean small states,12639.7046226653
CUB,Cuba,56495.8534866201
CUW,Curacao,20501.7522782219
CYM,Cayman Islands,99624.8854439134
CYP,Cyprus,32048.240234375
CZE,Czechia,27223.0451937676
DEU,Germany,48717.9911402128
DJI,Djibouti,3136.11276804873
DMA,Dominica,8351.19321309293
DNK,Denmark,67790.0539923276
DOM,Dominican Republic,10111.2457110261
DZA,Algeria,4342.63796796522
ECU,Ecuador,6391.28248430643
EGY,"Egypt, Arab Rep.",4295.40749561014
ESP,Spain,29674.5442864413
EST,Estonia,28247.095992497
ETH,Ethiopia,1027.58591095964
FIN,Finland,50916.2804653208
FJI,Fiji,5356.16439621614
FRA,France,40886.2532680273
FRO,Faroe Islands,66979.2773224808
FSM,"Micronesia, Fed. Sts.",3713.95536246102
GAB,Gabon,8820.34733682316
GBR,United Kingdom,46125.2557513568
GEO,Georgia,6674.95695994589
GHA,Ghana,2203.55893518303
GIN,Guinea,1515.16794777584
GMB,"Gambia, The",808.278281490135
GNB,Guinea-Bissau,775.828965745365
GNQ,Equatorial Guinea,7182.26538205027
GRC,Greece,20867.2690861087
GRD,Grenada,9689.08269960317
GTM,Guatemala,5473.20856444589
GUY,Guyana,18199.4748396968
HKG,"Hong Kong SAR, China",48983.6217162934
HND,Honduras,3040.17304596842
HRV,Croatia,18570.4039968345
HTI,Haiti,1748.25713229469
HUN,Hungary,18390.1849993244
IDN,Indonesia,4787.99930771921
IND,India,2410.88802070689
