idPais,Region
BRA,AMÉRICA  DEL  SUR
CHL,AMÉRICA  DEL  SUR
PRY,AMÉRICA  DEL  SUR
USA,AMÉRICA  DEL  NORTE
ESP,EUROPA  OCCIDENTAL
CHN,ASIA
DEU,EUROPA  OCCIDENTAL
BOL,AMÉRICA  DEL  SUR
URY,AMÉRICA  DEL  SUR
TUR,EUROPA  OCCIDENTAL
IND,ASIA
ISR,ASIA
ECU,AMÉRICA  DEL  SUR
CAN,AMÉRICA  DEL  NORTE
ZAF,ÁFRICA  SUBSAHARIANA
PER,AMÉRICA  DEL  SUR
GRB,EUROPA  OCCIDENTAL
MEX,AMÉRICA  DEL  NORTE
ITA,EUROPA  OCCIDENTAL
AUS,OCEANÍA
ARG,AMÉRICA  DEL  SUR
AGO,ÁFRICA  SUBSAHARIANA
SAU,ASIA
DZA,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
ARM,ASIA
SYR,ASIA
AZE,ASIA
BGD,ASIA
BRB,AMÉRICA  CENTRAL  Y  CARIBE
BEL,EUROPA  OCCIDENTAL
BGR,EUROPA  CENTRAL  Y  ORIENTAL
CZE,EUROPA  CENTRAL  Y  ORIENTAL
COL,AMÉRICA  DEL  SUR
KOR,ASIA
CUB,AMÉRICA  CENTRAL  Y  CARIBE
DNK,EUROPA  OCCIDENTAL
DOM,AMÉRICA  CENTRAL  Y  CARIBE
ARE,ASIA
EGY,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
ETH,ÁFRICA  SUBSAHARIANA
PHL,ASIA
FIN,EUROPA  OCCIDENTAL
FRA,EUROPA  OCCIDENTAL
RUS,EUROPA  CENTRAL  Y  ORIENTAL
GRC,EUROPA  OCCIDENTAL
GTM,AMÉRICA  CENTRAL  Y  CARIBE
GUY,AMÉRICA  CENTRAL  Y  CARIBE
HTI,AMÉRICA  CENTRAL  Y  CARIBE
HND,AMÉRICA  CENTRAL  Y  CARIBE
IRN,ASIA
IRL,EUROPA  OCCIDENTAL
IDN,ASIA
JAM,AMÉRICA  CENTRAL  Y  CARIBE
JPN,ASIA
KEN,ÁFRICA  SUBSAHARIANA
KWT,ASIA
LBY,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
LBN,ASIA
LCA,AMÉRICA  CENTRAL  Y  CARIBE
MAR,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
MOZ,ÁFRICA  SUBSAHARIANA
MYS,ASIA
NIC,AMÉRICA  CENTRAL  Y  CARIBE
NGA,ÁFRICA  SUBSAHARIANA
NOR,EUROPA  OCCIDENTAL
NZL,OCEANÍA
CHE,EUROPA  OCCIDENTAL
PAK,ASIA
NLD,EUROPA  OCCIDENTAL
PAN,AMÉRICA  CENTRAL  Y  CARIBE
POL,EUROPA  CENTRAL  Y  ORIENTAL
PRT,EUROPA  OCCIDENTAL
QAT,ASIA
CRI,AMÉRICA  CENTRAL  Y  CARIBE
ROU,EUROPA  CENTRAL  Y  ORIENTAL
SLV,AMÉRICA  CENTRAL  Y  CARIBE
SEN,ÁFRICA  SUBSAHARIANA
SRB,EUROPA  CENTRAL  Y  ORIENTAL
SGP,ASIA
VAT,EUROPA  OCCIDENTAL
SWE,EUROPA  OCCIDENTAL
SUR,AMÉRICA  DEL  SUR
THA,ASIA
AUT,EUROPA  OCCIDENTAL
TTO,AMÉRICA  CENTRAL  Y  CARIBE
TUN,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
UKR,EUROPA  CENTRAL  Y  ORIENTAL
HUN,EUROPA  CENTRAL  Y  ORIENTAL
VEN,AMÉRICA  DEL  SUR
VNM,ASIA
PSE,ASIA
