idPais,PBI_2022
ABW,33300.83882
AFE,1644.062829
AFG,
AFW,1785.312219
AGO,3000.444231
ALB,6810.114041
AND,41992.77278
ARB,7625.252464
ARE,53707.98008
ARG,13650.60463
ARM,7018.051504
ASM,19673.3901
ATG,19919.72669
AUS,65099.84591
AUT,52084.6812
AZE,7762.073829
BDI,259.0250314
BEL,49926.82543
BEN,1302.851036
BFA,830.0371503
BGD,2688.305501
BGR,13974.44925
BHR,30146.92503
BHS,31458.30081
BIH,7568.79848
BLR,7888.263711
BLZ,6984.21696
BMU,118774.7907
BOL,3600.121635
BRA,8917.674911
BRB,20238.78424
BRN,37152.47697
BTN,
BWA,7738.878804
CAF,427.0580962
CAN,54917.66252
CEB,19420.58378
CHE,93259.90572
CHI,
CHL,15355.47974
CHN,12720.21632
CIV,2486.412194
CMR,1563.48894
COD,653.6562231
COG,2649.225022
COL,6624.165393
COM,1484.892465
CPV,3754.304794
CRI,13365.3564
CSS,12639.70462
CUB,56495.85349
CUW,20501.75228
CYM,99624.88544
CYP,32048.24023
CZE,27223.04519
DEU,48717.99114
DJI,3136.112768
DMA,8351.193213
DNK,67790.05399
DOM,10111.24571
DZA,4342.637968
EAP,9954.276857
EAR,4104.085948
EAS,12920.48
ECA,10379.77294
ECS,27521.32631
ECU,6391.282484
EGY,4295.407496
EMU,41036.94864
ERI,
ESP,29674.54429
EST,28247.09599
ETH,1027.585911
EUU,37432.56039
FCS,1870.337198
FIN,50916.28047
FJI,5356.164396
FRA,40886.25327
FRO,66979.27732
FSM,3713.955362
GAB,8820.347337
GBR,46125.25575
GEO,6674.95696
GHA,2203.558935
GIB,
GIN,1515.167948
GMB,808.2782815
GNB,775.8289657
GNQ,7182.265382
GRC,20867.26909
GRD,9689.0827
GRL,
GTM,5473.208564
GUM,
GUY,18199.47484
HIC,49557.38578
HKG,48983.62172
HND,3040.173046
HPC,1109.014261
HRV,18570.404
HTI,1748.257132
HUN,18390.185
IBD,7682.790889
IBT,6007.370761
IDA,1534.023093
IDB,1933.556473
IDN,4787.999308
IDX,1337.013175
IMN,
IND,2410.888021
INX,
IRL,103983.2913
IRN,4669.57138
IRQ,5937.195466
ISL,73466.77867
ISR,54930.93881
ITA,34776.42323
JAM,6047.216457
JOR,4311.000046
JPN,33823.57073
KAZ,11492.03194
KEN,2099.301938
KGZ,1655.072698
KHM,1759.608023
KIR,1701.970665
KNA,20262.26714
KOR,32422.57449
KWT,41079.5227
LAC,9795.791723
LAO,2054.430781
LBN,
LBR,754.5328429
LBY,6716.095985
LCA,13030.92848
LCN,10344.18785
LDC,1268.338952
LIC,750.4669425
LIE,
LKA,3354.383408
LMC,2561.457576
LMY,5886.214764
LSO,969.9357602
LTE,12072.76719
LTU,25064.80891
LUX,125006.0218
LVA,21779.50426
MAC,34584.85909
MAF,
MAR,3441.991455
MCO,240862.1824
MDA,5714.430488
MDG,516.592616
MDV,11780.81691
MEA,8973.862585
MEX,11496.52287
MHL,6225.179222
MIC,6491.026846
MKD,6591.471314
MLI,833.2972551
MLT,34127.51056
MMR,1149.211218
MNA,3998.585763
MNE,10093.4387
MNG,5045.5047
MNP,
MOZ,558.2986064
MRT,2065.155516
MUS,10256.23031
MWI,645.1586921
MYS,11993.18761
NAC,74097.75381
NAM,5031.11503
NCL,35745.18505
NER,585.4049292
NGA,2162.633734
NIC,2255.425995
NLD,57025.01246
NOR,106177.1972
NPL,1336.546047
NRU,11970.93828
NZL,48418.59166
OED,43431.31886
OMN,25056.79486
OSS,16003.09753
PAK,1588.879829
PAN,17357.62863
PER,7125.829931
PHL,3498.509806
PLW,
PNG,3115.922923
POL,18688.00449
PRE,1558.021277
PRI,35208.63719
PRK,
PRT,24515.26585
PRY,6153.055657
PSE,3789.327966
PSS,3912.185639
PST,50886.33273
PYF,18984.8511
QAT,87661.45015
ROU,15786.80174
RUS,15270.70605
RWA,966.2320714
SAS,2287.416124
SAU,30447.88371
SDN,1102.146484
SEN,1598.726433
SGP,82807.62906
SLB,2205.251805
SLE,475.7957278
SLV,5127.321668
SMR,
SOM,592.103122
SRB,9537.682867
SSA,1700.102181
SSD,
SSF,1701.245382
SST,14684.05791
STP,2386.696176
SUR,5858.824661
SVK,21256.80843
SVN,28439.3341
SWE,56373.78858
SWZ,3986.886637
SXM,35873.05649
SYC,13250.45583
SYR,
TCA,24917.59581
TCD,716.8043811
TEA,10065.03475
TEC,11342.49186
TGO,942.6499016
THA,6909.956285
TJK,1054.189484
TKM,8792.548504
TLA,9324.959304
TLS,2389.295875
TMN,4001.122645
TON,
TSA,2287.416124
TSS,1701.245382
TTO,19629.46534
TUN,3747.419391
TUR,10674.50417
TUV,5221.532799
TZA,1192.766479
UGA,964.3958695
UKR,4533.975586
UMC,10993.32293
URY,20795.04235
USA,76329.58227
UZB,2255.151155
VCT,9125.324771
VEN,
VGB,
VIR,
VNM,4163.514299
VUT,3231.3513
WLD,12743.85168
WSM,3745.560367
XKX,5340.268798
YEM,650.2722184
ZAF,6766.481254
ZMB,1456.90157
ZWE,1676.821489
